seaTurtleMorphometricId,seaTurtleId,dateMeasured,sclSNotchNotchValue,sclNotchNotchUnits,sclNotchTipValue,sclNotchTipUnits,sclTipTipValue,sclTipTipUnits,scwValue,scwUnits,cclNotchNotchValue,cclNotchNotchUnits,cclNotchTipValue,cclNotchTipUnits,cclTipTipValue,cclTipTipUnits,ccwValue,ccwUnits,weightValue,weightUnits
20d72fe1-4da7-4095-8b82-7164f1509588,ab69f34f-ee5c-4f2a-a935-bbda341f3d33,2007-11-11,0,,0,,0,,0,,0,,0,,0,,0,,6,kg
50033b90-173e-48c4-8c22-e9e2bc44ab2d,ab69f34f-ee5c-4f2a-a935-bbda341f3d33,2007-11-28,0,,0,,0,,0,,0,,0,,0,,0,,6.3,kg
a116cb81-abae-4778-8cda-d528fc183285,ab69f34f-ee5c-4f2a-a935-bbda341f3d33,2007-12-23,0,,0,,0,,0,,0,,0,,0,,0,,6.85,kg
c845e1a2-d31f-4538-81aa-e28e8c2ee195,ab69f34f-ee5c-4f2a-a935-bbda341f3d33,2008-01-07,0,,0,,0,,0,,0,,0,,0,,0,,6.9,kg
339812ff-b1ca-4b84-87e6-93b495098ef2,ab69f34f-ee5c-4f2a-a935-bbda341f3d33,2008-01-26,0,,0,,0,,0,,0,,0,,0,,0,,7.1,kg
92e2827c-0a92-4065-ba79-24bc236f82d9,ab69f34f-ee5c-4f2a-a935-bbda341f3d33,2008-01-31,0,,0,,0,,0,,0,,0,,0,,0,,7.25,kg
a8765af5-1619-4a4d-a513-c28996dfc39e,497a0536-7a53-4e6a-b384-6719bdb764fc,2007-11-29,82,cm,82.9,cm,0,,61.9,cm,87,cm,88,cm,0,,79.2,cm,71.5,kg
1233002f-db33-4a4a-87b8-31bcc95559c7,497a0536-7a53-4e6a-b384-6719bdb764fc,2007-12-18,0,,0,,0,,0,,0,,0,,0,,0,,67.5,kg
31ec4850-1beb-4e9d-8f89-56dba5f11754,497a0536-7a53-4e6a-b384-6719bdb764fc,2007-12-22,0,,0,,0,,0,,0,,0,,0,,0,,67.5,kg
c5febda4-f9ff-497b-9ca8-4d3aff91432c,497a0536-7a53-4e6a-b384-6719bdb764fc,2008-01-07,0,,0,,0,,0,,0,,0,,0,,0,,73.5,kg
e9be9800-6597-4b37-872f-e111891a01d6,497a0536-7a53-4e6a-b384-6719bdb764fc,2008-01-29,0,,0,,0,,0,,0,,0,,0,,0,,79,kg
