seaTurtleId|seaTurtleName|sidNumber|strandingIdNumber|species|dateAcquired|acquiredFrom|turtleSize|status|dateRelinquished|relinquishedTo|anomalies|injuryBoatStrike|injuryIntestinalImpaction|injuryLineEntanglement|injuryFishHook|injuryUpperRespiratory|injuryAnimalBite|injuryFibropapilloma|injuryMiscEpidemic|injuryDoa|injuryOther|wasCarryingTagsWhenEnc|recaptureType|tagReturnAddress|captureProjectType|didTurtleNest|captureProjectOther|acquiredCounty|acquiredLatitude|acquiredLongitude|relinquishedCounty|relinquishedLatitude|relinquishedLongitude|inspectedForTagScars|tagScarsLocated|scannedForPitTags|pitTagsScanFrequency|scannedForMagneticWires|magneticWiresLocated|inspectedForLivingTags|livingTagsLocated|brochureComments|brochureBackgroundColor|brochureImageFileAttachmentId
606156CF-C735-4E11-97F1-6A228E429DDD|Ei0731|7096|MLB070507-01|EI|2007-05-07|volusia cty, ormond beach|Post-hatchling|UR|2007-06-01|died|hair algae, leech eggs,  gooseneck barnacles|N|N|N|N|N|N|N|N|N|Y||||||||||||||||||||||-1|
C442AE47-43CA-4374-919E-6000FCF3AEBB|Cc0732 Crue|7097|MLB070515-01|CC|2007-05-15|volusia cty ormond beach|Subadult|UR|2007-05-24|died|emaciated, anemic, post shell impaction|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
9E80DB68-1A05-4D0A-B6E6-1FECB9D14F8E|Cc0733 Hilda|7098|BEL070521-01|CC|2007-05-21|volusia cty, daytona beach|Adult|UR|2007-07-23|released|hypoglycemic, severe edema, prolapsed cloaca, shell impacted|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
3C21DE95-CFE2-4396-AC59-DCE5E7B6B2C0|Cm0734 Jake|7100|DBH070521-01|CM|2007-05-22|brevard cty|Juvenile|UR|2007-07-02|released|fish hook in throat|N|N|N|Y|N|N|N|N|N|N||||||||||||||||||||||-1|
D7FE6F98-D8C5-4AFA-BB67-D5DFDCD58340|Ei0735|7113|MLB070531-01|EI|2007-05-31|vol cty turtle patrol wilbur by the sea|Post-hatchling|UR|2007-06-07|released|emaciated|N|N|N|N|N|N|N|N|N|Y||||||||||||||||||||||-1|
1546C78B-1A5D-4ABB-9D0A-C5121E940816|Cc0736|7114|DBH070530-01|CC|2007-05-31|Brevard Cty|Subadult|UR|2007-06-05|died|missing rear of carapace; severe shell impaction, anemic, barnacle covered|Y|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
1174DE64-874E-488D-B6B8-7E9BA795818B|Cm0737|7115|MLB070604-01|CM|2007-06-04|NSB beach patrol|Juvenile|UR|2007-06-20|released|impacted|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
52DFA471-BF2A-4CF5-9FAC-0727E27AC3FB|Cm0738 Cybal|7116|TMD070605-01|CM|2007-06-05|A1A near the Conch House (?)|Juvenile|UR|||boat hit to vertebral scutes of carapace|Y|N|N|N|N|N|N|N|N|N|N||||||St. Johns|29.5335|-81.1742||0|0|N||N||N||N|||-1|
B5D0B4C7-7A66-4D0F-89FA-6AC4CE7DA2F9|Cc0739|7124|MLB070614-01|CC|2007-06-14|Volusia cty beach st|Subadult|UR|2007-06-19|died|leeches, barnacles emaciated, carapace margin fracture left lower; pcv 3 t.p. 0|Y|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
5EF956D2-4563-4546-9A64-9508BACEBB5B|Cm0740 Winston|7132|ALC070622-01|CM|2007-06-22|brevard cty, port canaveral|Juvenile|UR|2007-07-20|died|fishing line constriction around neck|N|N|Y|N|N|N|N|N|N|N||||||||||||||||||||||-1|
